,Coretype
4473,1
1824,1
893,2
380,1
2797,2
1444,1
4955,1
164,1
1698,1
4058,1
3783,1
1658,1
4074,1
652,2
1643,2
5084,2
2429,2
2707,2
1215,1
3104,1
3667,2
176,1
4440,2
1647,1
2067,1
1326,1
285,1
2089,1
1799,1
789,2
523,2
3369,2
2921,1
1436,2
552,1
1307,1
353,2
1431,1
3379,1
3873,1
1472,2
1989,1
709,2
3720,2
3817,1
3823,1
149,1
2007,1
4190,2
2253,1
921,1
4571,2
4017,2
2177,1
13,2
1592,1
2047,1
3316,2
3551,2
1542,1
4134,2
4100,2
3237,2
2478,3
238,1
2756,2
3307,1
4550,1
861,1
432,1
4469,2
4845,1
4020,3
2710,2
102,1
4447,2
3612,1
3015,2
514,2
1319,1
977,2
4604,1
333,2
3336,1
3549,1
703,2
418,1
2640,2
3800,2
1567,1
1150,2
2783,2
4968,1
878,2
1463,1
1491,1
3432,1
2768,2
4728,2
1382,1
1371,1
526,2
607,1
3311,2
782,1
923,1
1055,1
4376,2
2388,1
2296,2
3786,2
2659,2
31,2
2172,2
3821,2
1059,1
1747,1
2161,1
4808,1
3148,1
1359,1
2980,1
4683,1
982,2
5000,2
883,1
5020,1
2085,1
1874,1
2581,3
851,1
2784,3
4620,1
415,1
3260,2
895,2
77,2
1433,1
1530,1
42,2
2859,2
2299,1
138,1
4616,2
3937,2
2840,1
3990,2
884,2
3318,1
1233,1
1544,2
338,2
4929,1
2402,1
2468,1
1835,1
1893,3
2072,1
3086,2
3150,2
3108,3
1777,1
915,3
1742,1
3935,2
3567,2
2843,2
5013,1
2001,1
1555,1
3110,2
596,1
1912,1
3012,3
1504,1
4321,2
936,1
1048,1
4898,1
3961,2
3289,1
3079,2
3301,2
1100,1
2815,2
2348,1
3959,1
4961,2
3898,1
3557,1
2469,1
1990,1
4924,2
2976,2
3556,2
2021,1
2267,1
3425,2
4651,1
3093,3
489,1
2459,1
3358,2
770,1
3381,1
1972,1
147,1
777,1
2375,2
954,1
4736,1
1429,2
3681,2
2194,1
4563,2
2807,2
5052,2
2646,1
3366,1
2860,3
4980,1
1364,1
393,1
3518,1
2617,2
1011,1
2379,2
2818,2
4361,1
2097,1
4098,1
1919,1
4665,1
571,2
1862,2
550,1
1425,2
1528,1
1486,1
560,2
902,1
1574,1
2803,3
4730,1
3158,2
2492,3
4926,2
1702,2
1177,1
3213,2
2080,1
953,1
20,2
1131,1
4358,1
863,2
1206,3
2893,1
621,1
3829,2
561,1
1787,1
2587,2
580,1
2395,1
3812,1
4638,1
2652,1
3134,1
2612,1
3270,1
4089,2
3911,1
3069,2
235,1
2276,1
1169,1
4866,1
948,1
284,2
4423,1
1140,1
3795,1
2117,1
1760,1
4209,1
