Signi70,Sp70,Sp70/Sbg70,Sconv70,Stot70,FWHMa70,FWHMb070,PA070,Signi160,Sp160,Sp160/Sbg160,Sconv160,Stot160,FWHMa160,FWHMb160,PA160,Signi250,Sp250,Sp250/Sbg250,Sconv250,Stot250,FWHMa250,FWHMb250,PA250,Signi350,Sp350,Sp350/Sbg350,Sconv350,Stot350,FWHMa350,FWHMb350,PA350,Signi500,Sp500,Sp500/Sbg500,Stot500,FWHMa500,FWHMb500,PA500,SigniNH2,NpH2,NpH2/NbgH2,NconvH2,NbgH2,FWHMaNH2,FWHMbNH2,PANH2,NSED,Region,Coretype
2.0,-0.023,1.01,-8.4,-0.0043,63.0,41.0,71.0,5.0,0.032,0.15,4.6,0.45,63.0,43.0,161.0,14.0,0.13,0.37,7.2,0.64,45.0,29.0,1.0,14.0,0.1,0.27,3.6,0.28,51.0,27.0,179.0,12.0,0.0974,0.29,0.18,57.0,37.0,179.0,9.0,0.49,0.4,0.29,1.21,46.0,32.0,11.0,3.0,Corona Australis,1
0.0,0.0039,0.55,0.069,0.22,97.0,82.0,69.0,7.5,0.19,0.72,1.1,2.9,14.0,76.0,45.0,43.0,0.42,0.81,1.1,3.5,54.0,39.0,53.0,20.8,0.51,1.0,0.84,2.7,60.0,44.0,53.0,20.2,0.43,0.8,1.1,69.0,44.0,59.0,24.4,2.15,1.65,1.5,1.3,55.0,42.0,59.0,4.0,Lupus,1
0.0,0.0728,0.01,0.0562,0.342,0.0,0.0,0.0,15.3,0.357,0.09,1.35,2.83,42.0,26.0,45.0,23.9,0.807,0.19,1.43,2.45,31.0,28.0,19.0,23.2,0.777,0.21,0.905,1.33,31.0,28.0,18.0,13.3,0.33,0.1,0.275,36.0,36.0,-35.0,23.0,1.0,0.25,0.6,5.0,35.0,22.0,-7.0,4.0,Orion,1
0.0,0.0426,0.28,0.525,0.411,51.0,39.0,108.0,12.2,0.294,0.2,1.38,2.35,34.0,26.0,72.0,10.3,0.366,0.13,0.55,0.855,33.0,20.0,55.0,7.9,0.276,0.1,0.316,0.456,34.0,25.0,67.0,0.0,0.153,0.06,0.163,40.0,36.0,81.0,6.6,0.3,0.09,0.1,3.4,35.0,21.0,47.0,0.0,Ophiuchus,1
1.0,-0.0026,0.567,-0.034,-0.089,60.6,44.9,112.9,6.5,0.00087,0.007,0.0022,0.026,84.5,13.5,68.8,15.7,0.2,0.78,0.32,0.7,42.9,21.6,143.9,20.4,0.26,0.96,0.3,0.58,47.4,24.9,146.6,19.6,0.25,1.144,0.37,46.1,36.3,136.9,18.1,13.1,0.8,0.2,17.24,51.8,18.2,151.9,4.0,Cepheus,1
62.0,0.31,0.221,3.1,7.1,54.7,28.9,32.9,115.1,2.0,0.481,5.6,11.0,41.6,19.2,40.5,62.8,1.6,0.444,2.6,4.9,42.9,21.9,47.2,42.0,1.1,0.505,1.4,2.5,39.3,29.5,58.6,33.7,0.69,0.451,0.88,41.6,36.3,81.0,10.4,6.4,0.3,0.1,23.7,48.0,23.0,78.8,5.0,Cepheus,1
0.0,0.024,0.15,0.187,0.168,34.0,24.0,122.0,10.3,0.218,0.16,0.375,0.465,24.0,14.0,114.0,10.1,0.247,0.18,0.279,0.329,23.0,18.0,-48.0,6.8,0.185,0.16,0.205,0.186,32.0,25.0,-44.0,0.0,0.0837,0.08,0.0379,36.0,36.0,-19.0,6.8,0.2,0.13,0.1,2.0,26.0,18.0,20.0,3.0,Orion,1
2.2,-0.022,-0.07,-0.113,-0.0192,48.0,12.0,72.0,7.4,0.00704,0.0,0.0197,0.603,46.0,11.0,17.0,22.1,0.84,0.15,1.42,2.49,45.0,20.0,1.0,29.4,1.01,0.19,1.22,1.77,40.0,25.0,-6.0,24.2,0.719,0.16,0.799,40.0,36.0,4.0,48.1,3.0,0.38,1.3,8.0,41.0,19.0,-3.0,1.0,Ophiuchus,1
0.0,0.0069,0.694,0.12,-1.5,128.9,111.6,42.0,4.9,0.075,0.406,0.48,2.4,119.3,79.9,160.8,7.6,0.26,0.412,0.67,2.9,72.5,43.2,151.8,7.6,0.33,0.402,0.48,1.6,65.5,36.6,140.9,11.2,0.35,0.43,1.3,79.0,52.7,154.7,14.6,19.7,0.5,0.6,41.0,74.2,55.9,145.3,3.0,Cepheus,1
4.0,-0.041,-2.13,-0.74,0.22,135.0,72.0,-67.0,6.2,0.077,0.24,0.56,5.3,7.5,129.0,106.0,73.0,0.16,0.45,0.51,2.9,81.0,68.0,51.0,7.0,0.16,0.49,0.29,1.6,86.0,60.0,37.0,10.6,0.11,0.42,0.47,81.0,61.0,-89.0,6.7,0.36,0.89,0.3,0.4,79.0,69.0,53.0,4.0,Lupus,1
